X,Y
0,598.021
1,1049.702
2,124.229
3,-940.655
4,-1421.850
5,-819.764
6,247.620
7,972.075
8,956.002
9,-117.656
10,-1288.509
11,-1279.352
12,-885.481
13,232.425
14,1100.188
15,360.040
16,-830.783
17,-1351.159
18,-782.500
19,203.098
20,902.051
21,1003.602
22,418.649
23,-1139.855
24,-1015.090
25,-515.309
26,565.517
27,1308.483
28,1051.326
29,-93.111
30,-751.262
31,-1075.040
32,-482.281
33,596.534
34,1423.348
35,647.881
36,-140.992
37,-846.073
38,-615.882
39,-24.174
40,796.499
41,1130.976
42,410.120
43,-522.249
44,-935.961
45,-685.891
46,123.808
47,830.847
48,987.475
49,151.043
50,-813.957
51,-933.763
52,-460.167
53,298.628
54,878.461
55,824.269
56,-111.013
57,-724.615
58,-1121.179
